"County/ Sub-County","Conventional Households","Type of Cooking Fuel (%) - Electricity","Type of Cooking Fuel (%) - Paraffin","Type of Cooking Fuel (%) - Gas(LPG) ","Type of Cooking Fuel (%) - Biogas","Type of Cooking Fuel (%) - Firewood","Type of Cooking Fuel (%) - Charcoal","Type of Cooking Fuel (%) - Solar","Type of Cooking Fuel (%) - Not Stated"
"NAVAKHOLO",32315,0.3,1.4,2.2,0.3,92.7,2.7,0.4,0
"VIHIGA",143288,0.4,2.4,7.1,0.3,83.8,5.9,0.1,0
"EMUHAYA",23803,0.3,1.5,3.7,0.2,90.3,3.9,0.3,0
"VIHIGA",23359,0.7,2.9,9.4,0.4,79.8,6.8,0.1,0
"SABATIA",31391,0.3,3.1,8.4,0.3,82.4,5.4,0,0
"LUANDA",26766,0.3,2.5,7.3,0.3,80.9,8.6,0.1,0
"HAMISI",37965,0.4,2.2,6.5,0.3,85.4,5.2,0.1,0
"KAKAMEGA FOREST",4,"-","-",25,25,25,25,"-","-"
"BUNGOMA",357714,0.4,2.6,7.2,0.4,78.3,11,0.2,0
"BUMULA",44922,0.2,1.6,2.3,0.3,89.9,5.4,0.2,0
